title,type
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,Long
Decoupled Side Information Fusion for Sequential Recommendation,Long
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,Long
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,Long
Curriculum Contrastive Context Denoising for Few-shot Conversational Dense Retrieval,Long
Fairness of Exposure in Light of Incomplete Exposure Estimation,Long
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,Long
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,Long
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,Long
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,Long
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,Long
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,Long
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,Long
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,Long
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,Long
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,Long
Tag-assisted Multimodal Sentiment Analysis under Uncertain Missing Modalities,Long
Progressive Learning for Image Retrieval with Hybrid-Modality Queries,Long
Unify Local and Global Information for Top-N Recommendation,Long
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,Long
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,Long
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,Long
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,Long
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,Long
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",Long
Multi-Level Interaction Reranking with User Behavior History,Long
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,Long
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,Long
User-controllable Recommendation Against Filter Bubbles,Long
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,Long
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,Long
Multimodal Entity Linking with Gated Hierarchical Fusion and Contrastive Training,Long
A Review-aware Graph Contrastive Learning Framework for Recommendation,Long
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,Long
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,Long
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,Long
Multi-Agent RL-based Information Selection Model for Sequential Recommendation,Long
Structure and Semantics Preserving Document Representations,Long
Knowledge Graph Contrastive Learning for Recommendation,Long
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,Long
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,Long
Joint Multisided Exposure Fairness for Recommendation,Long
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,Long
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,Long
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,Long
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,Long
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,Long
Single-shot Embedding Dimension Search in Recommender System,Long
Learning to Infer User Implicit Preference in Conversational Recommendation,Long
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,Long
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,Long
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,Long
IR Evaluation and Learning in the Presence of Forbidden Documents,Long
Target-aware Abstractive Related Work Generation with Contrastive Learning,Long
Geometric Disentangled Collaborative Filtering,Long
Exploring Modular Task Decomposition in Cross-domain Named Entity Recognition,Long
CorED: Incorporating Type-level and Instance-level Correlations for Fine-grained Event Detection,Long
Self-Augmented Recommendation with Hypergraph Contrastive Collaborative Filtering,Long
Incorporating Retrieval Information into the Truncation of Ranking Lists in the Legal Domain,Long
Can clicks be both labels and features? Unbiased Behavior Feature Collection and Uncertainty-aware Learning to Rank,Long
PTAU: Prompt Tuning for Attributing Unanswerable Questions,Long
Multi-level Cross-view Contrastive Learning for Knowledge-aware Recommender System,Long
User-Centric Conversational Recommendation with Multi-Aspect User Modeling,Long
MGPolicy: Meta Graph Enhanced Off-policy Learning for Recommendations,Long
Generating Clarifying Questions with Web Search Results,Long
HIEN: Hierarchical Intention Embedding Network for Click-Through Rate Prediction,Long
Webformer: Pre-training with Web Pages for Information Retrieval,Long
Unsupervised Belief Representation Learning with Information-Theoretic Variational Graph Auto-Encoders,Long
Implicit Feedback for Dense Passage Retrieval: A Counterfactual Approach,Long
Why Don't You Click: Understanding Non-Click Results in Web Search with Brain Signals,Long
CharacterBERT and Self-Teaching for Improving the Robustness of Dense Retrievers on Queries with Typos,Long
Incorporating Context Graph with Logical Reasoning for Inductive Relation Prediction,Long
Forest-based Deep Recommender,Long
Distill-VQ: Learning Retrieval Oriented Vector Quantization By Distilling Knowledge from Dense Embeddings,Long
Bilateral Self-unbiased Recommender Learning from Biased Implicit Feedback,Long
Price DOES Matter! Modeling Price and Interest Preferences in Session-based Recommendation,Long
Personalized Abstractive Opinion Tagging,Long
Privacy-Preserving Synthetic Data Generation for Recommendation,Long
Investigating Accuracy-Novelty Performance for Graph-based Collaborative Filtering,Long
CRET: Cross-Modal Retrieval Transformer for Efficient Text-Video Retrieval,Long
H-ERNIE: A Hierarchical Multi-Granularity Pre-Trained Language Model for Chinese Search Engine,Long
DAWAR: Diversity-aware Web APIs Recommendation for Mashup Creation based on Correlation Graph,Long
Variational Reasoning about User Preferences for Conversational Recommendation,Long
Alleviating Spurious Correlations in Knowledge-aware Recommendations through Counterfactual Generator,Long
NAS-CTR: Efficient Neural Architecture Search for Click-Through Rate Prediction,Long
Exploiting Variational Domain-Invariant User Embedding for Partially Overlapped Cross Domain Recommendation,Long
Analyzing and Simulating User Utterance Reformulation in Conversational Recommender Systems,Long
Meta-Knowledge Transfer for Inductive Knowledge Graph Embedding,Long
HAKG: Hierarchy-Aware Knowledge Gated Network for Recommendation,Long
Self-Guided Learning to Denoise for Robust Recommendation,Long
MetaCare++: Meta-Learning with Hierarchical Subtyping for Cold-Start Diagnosis Prediction in Healthcare Data,Long
AutoGSR: Neural Architecture Search for Graph-based Session Recommendation,Long
Learning Graph-based Disentangled Representations for Next POI Recommendation,Long
Interpreting Patient Descriptions using Distantly Supervised Similar Case Retrieval,Long
Risk-Sensitive Deep Neural Learning to Rank,Long
BERT-ER: Query-Specific BERT Entity Representations for Entity Ranking,Long
Conversational Question Answering on Heterogeneous Sources,Long
Human preferences as dueling bandits,Long
A Non-Factoid Question-Answering Taxonomy,Long
Graph Adaptive Semantic Transfer for Cross-domain Sentiment Classification,Long
Axiomatically Regularized Pre-training for Ad hoc Search,Long
Bit-aware Semantic Transformer Hashing for Multi-modal Retrieval,Long
Logiformer: A Two-Branch Graph Transformer Network for Interpretable Logical Reasoning,Long
A Flexible Framework for Offline Effectiveness Metrics,Long
GETNext: Trajectory Flow Map Enhanced Transformer for Next POI Recommendation,Long
What Makes The Story Forward? Inferring Commonsense Explanations as Prompts for Future Event Generation,Long
Recognizing Medical Search Query Intent by Few-shot Learning,Long
Ranking Interruptus: When Truncated Rankings Are Better and How to Measure That,Long
A Dual-Expert Framework for Event Argument Extraction,Long
Few-shot Node Classification on Attributed Networks with Graph Meta-learning,Long
Adaptable Text Matching via Meta-Weight Regulator,Long
Ada-Ranker: A Data Distribution Adaptive Ranking Paradigm for Sequential Recommendation,Long
Offline Evaluation of Ranked Lists using Parametric Estimation of Propensities,Long
Learning to Denoise Unreliable Interactions for Graph Collaborative Filtering,Long
A Weakly Supervised Propagation Model for Rumor Verification and Stance Detection with Multiple Instance Learning,Long
INMO: A Model-Agnostic and Scalable Module for Inductive Collaborative Filtering,Long
Video Moment Retrieval from Text Queries via Single Frame Annotation,Long
ProFairRec: Provider Fairness-aware News Recommendation,Long
Multi-Faceted Global Item Relation Learning for Session-Based Recommendation,Long
ReCANet: A Repeat Consumption-Aware Neural Network for Next Basket Recommendation in Grocery Shopping,Long
Neighbour Interaction based Click-Through Rate Prediction via Graph-masked Transformer,Long
COSPLAY: Concept Set Guided Personalized Dialogue System,Long
CAPTOR: A Crowd-Aware Pre-Travel Recommender System for Out-of-Town Users,Long
LoL: A Comparative Regularization Loss over Query Reformulation Losses for Pseudo-Relevance Feedback,Long
Improving Implicit Alternating Least Squares with Ring-based Regularization,Long
Probabilistic Permutation Graph Search: Black-Box Optimization for Fairness in Ranking,Long
Offline Retrieval Evaluation Without Evaluation Metrics,Long
Multi-Behavior Sequential Transformer Recommender,Long
ADPL: Adversarial Prompt-based Domain Adaptation for Dialogue Summarization with Knowledge Disentanglement,Long
Aspect Feature Distillation and Enhancement Network for Aspect-based Sentiment Analysis,Long
Deployable and Continuable Meta-Learning-Based Recommender System with Fast User-Incremental Updates,Long
Multimodal Disentanglement Variational AutoEncoders for Zero-Shot Cross-Modal Retrieval,Long
Explainable Fairness for Feature-aware Recommender Systems,Long
Graph Trend Filtering Networks for Recommendation,Long
AutoLossGen: Automatic Loss Function Generation for Recommender Systems,Long
Measuring Fairness in Ranked Results: An Analytical and Empirical Comparison,Long
Entity-aware Transformers for Entity Search,Long
Optimizing generalized Gini indices for fairness in rankings,Long
Co-clustering Interactions via Attentive Hypergraph Neural Network,Long
A Study of Cross-Session Cross-Device Search within an Academic Digital Library,Long
"A Multitask Framework for Sentiment, Emotion and Sarcasm aware Cyberbullying Detection in Multi-modal Code-Mixed Memes",Long
Scalable Exploration for Online Learning to Rank with Perturbed Click Feedback,Long
Determinantal Point Process Set Likelihood-Based Loss Functions for Sequential Recommendation,Long
Bias Mitigation for Toxicity Detection via Sequential Decisions,Long
Information Need Awareness: an EEG study,Long
Towards Explainable Search Results: A Listwise Explanation Generator,Long
KETCH: Knowledge Graph Enhanced Thread Recommendation in Healthcare Forums,Long
CPFair: Personalized Consumer and Producer Fairness Re-ranking for Recommender Systems,Long
Pareto-Optimal Fairness-Utility Amortizations in Rankings with a DBN Exposure Model,Long
IAOTP: An Interactive End-to-End Solution for Aspect-Opinion Term Pairs Extraction,Long
Structure-Aware Semantic-Aligned Network for Universal Cross-Domain Retrieval,Long
Few-Shot Stance Detection via Target-Aware Prompt Distillation,Long
Pre-train a Discriminative Text Encoder for Dense Retrieval via Contrastive Span Prediction,Long
Re-thinking Knowledge Graph Completion Evaluation from an Information Retrieval Perspective,Long
QUASER: Question Answering with Scalable Extractive Rationalization,Long
ESCM^2: Entire Space Counterfactual Multi-Task Model for Post-Click Conversion Rate Estimation,Long
PEVAE: A hierarchical VAE for personalized explainable recommendation.,Long
Towards Suicide Ideation Detection Through Online Conversational Context,Long
"Positive, Negative and Neutral: Modeling Implicit Feedback in Session-based News Recommendation",Long
Less is More: Reweighting Important Spectral Graph Features for Recommendation,Long
Structured and Natural Responses Co-generation for Conversational Search,Long
Is non-IID Data a Threat in Federated Online Learning to Rank?,Perspectives
Towards Feature Selection for Ranking and Classification Exploiting Quantum Annealers,Perspectives
"Reduce, Reuse, Recycle: Green Information Retrieval Research",Perspectives
Where Do Queries Come From?,Perspectives
Competitive Search,Perspectives
On Natural Language User Profiles for Transparent and Scrutable Recommendation,Perspectives
Retrieval-Enhanced Machine Learning,Perspectives
Where Does the Performance Improvement Come From? - A Reproducibility Concern about Image-Text Retrieval,Reproducibility
State Encoders in Reinforcement Learning for Recommendation: A Reproducibility Study,Reproducibility
Another Look at Information Retrieval as Statistical Translation,Reproducibility
Experiments on Generalizability of User-Oriented Fairness in Recommender Systems,Reproducibility
Users and Contemporary SERPs: A (Re-)Investigation,Reproducibility
"Space4HGNN: A Novel, Modularized and Reproducible Platform to Evaluate Heterogeneous Graph Neural Network",Reproducibility
An Inspection of the Reproducibility and Replicability of TCT-ColBERT,Reproducibility
Item Similarity Mining for Multi-Market Recommendation,Short
MetaCVR: Conversion Rate Prediction via Meta Learning in Small-Scale Recommendation Scenarios,Short
Towards Event-level Causal Relation Identification,Short
Exploring Heterogeneous Data Lake based on Unified Canonical Graphs,Short
Relation-Guided Few-Shot Relational Triple Extraction,Short
L3E-HD: A Framework Enabling Efficient Ensemble in High-Dimensional Space for Language Tasks,Short
Neural Statistics for Click-Through Rate Prediction,Short
Adversarial Graph Perturbations for Recommendations at Scale,Short
Graph Capsule Network with a Dual Adaptive Mechanism,Short
Constructing Better Evaluation Metrics by Incorporating theAnchoring Effect into the User Model,Short
Relation Extraction as Open-book Examination: Retrieval-enhanced Prompt Tuning,Short
ReLoop: A Self-Correction Learning Loop for Recommender Systems,Short
Training Entire-Space Models for Target-oriented Opinion Words Extraction,Short
Zero-shot Query Contextualization for Conversational Search,Short
EFLEC: Efficient Feature-LEakage Correction in GNN based Recommendation Systems,Short
Gating-adapted Wavelet Multiresolution Analysis for Exposure Sequence Modeling in CTR prediction,Short
Preference Enhanced Social Infulence Modeling for Network-Aware Cascade Prediction,Short
Enhancing Top-N Item Recommendations by Peer Collaboration,Short
Faster Learned Sparse Retrieval with Guided Traversal,Short
On Extractive Summarization for Profile-centric Neural Expert Search in Academia,Short
Animating Images to transfer CLIP for Video-Text Retrieval,Short
IPR: Interaction-level Preference Ranking for explicit feedback,Short
News Recommendation with Candidate-aware User Modeling,Short
PERD: Personalized Emoji Recommendation with Dynamic User Preference,Short
Socially-aware Dual Contrastive Learning for Cold-Start Recommendation,Short
Hierarchical Task-aware Multi-Head Attention Network,Short
Constrained Sequence-to-Tree Generation for Hierarchical Text Classification,Short
Image-Text Retrieval via Contrastive Learning with Auxiliary Generative Features and Support-set Regularization,Short
Enhancing Event-Level Sentiment Analysis with Structured Arguments,Short
Denoising Time Cycle Modeling for Recommendation,Short
P^3 Ranker: Mitigating the Gaps between Pre-training and Ranking Fine-tuning with Prompt-based Learning and Pre-finetuning,Short
Towards Results-level Proportionality for Multi-objective Recommender Systems,Short
Adversarial Filtering Modeling on Long-term User Behavior Sequences for Click-Through Rate Prediction,Short
Regulating Provider Groups Exposure in Recommendations,Short
FUM: Fine-grained and Fast User Modeling for News Recommendation,Short
Curriculum Learning for Dense Retrieval Distillation,Short
Evaluation of Herd Behavior Caused by Population-scale Concept Drift in Collaborative Filtering,Short
Detecting Frozen Phrases in Open-Domain Question Answering,Short
Enhancing Hypergraph Neural Networks with Intent Disentanglement for Session-based Recommendation,Short
Point Prompt Tuning for Temporally Language Grounding,Short
Value Penalized Q-Learning for Recommender Systems,Short
Transform Cold-Start Users into Warm via Fused Behaviors in Large-Scale Recommendation,Short
Understanding User Satisfaction with Task-Oriented Dialogue Systems,Short
Distilling Knowledge on Text Graph for Social Media Attribute Inference,Short
Progressive Self-Attention Network with Unsymmetrical Positional Encoding for Sequential Recommendation,Short
Empowering Next POI Recommendation with Multi-Relational Modeling,Short
What Makes a Good Podcast Summary?,Short
A Simple Meta-learning Paradigm for Zero-shot Intent Classification with Mixture Attention Mechanism,Short
BSAL: A Framework of Bi-component Structure and Attribute Learning for Link Prediction,Short
Analyzing the Support Level for Tips Extracted from Product Reviews,Short
DAGNN: Demand-aware Graph Neural Networks for Session-based Recommendation,Short
Enhancing Zero-Shot Stance Detection via Targeted Background Knowledge,Short
Translation-Based Implicit Annotation Projection for Zero-Shot Cross-Lingual Event Argument Extraction,Short
RESETBERT4Rec: A Pre-training Model Integrating Time And User Historical Behavior for Sequential Recommendation,Short
PUM: Pre-training User Model with Contrastive Self-supervision,Short
Understanding Long Programming Languages with Structure-Aware Sparse Attention,Short
Learning-to-Rank at the Speed of Sampling: Plackett-Luce Gradient Estimation With Minimal Computational Complexity,Short
MP2: A Momentum Contrast Approach for Recommendation with Pointwise and Pairwise Learning,Short
A Multi-Task Based Neural Model to Simulate Users in Goal Oriented Dialogue Systems,Short
Conversational Recommendation via Hierarchical Information Modeling,Short
Generalizing to the Future: Mitigating Entity Bias in Fake News Detection,Short
Dialogue Topic Segmentation via Parallel Extraction Network with Neighbor Smoothing,Short
Analysing the Robustness of Dual Encoders for Dense Retrieval Against Misspellings,Short
From Cluster Ranking to Document Ranking,Short
Mitigating Consumer Biases in Recommendations with Adversarial Training,Short
"A 'Pointwise-Query, Listwise-Document' based QPP Approach",Short
How does Feedback Signal Quality Impact Effectiveness of Pseudo Relevance Feedback for Passage Retrieval,Short
Improving Contrastive Learning of Sentence Embeddings with Case-Augmented Positives and Retrieved Negatives,Short
Task-Oriented Dialogue System as Natural Language Generation,Short
Expression Syntax Information Bottleneck for Math Word Problems,Short
Masking and Generation: An Unsupervised Method for Sarcasm Detection,Short
Cross-Probe BERT for Fast Cross-Modal Search,Short
GERE: Generative Evidence Retrieval for Fact Verification,Short
DH-HGCN: Dual Homogeneity Hypergraph Convolutional Network for Multiple Social Recommendations,Short
Clustering based Behavior Sampling with Long Sequential Data for CTR Prediction,Short
CORE: Simple and Effective Session-based Recommendation within Consistent Representation Space,Short
Relevance under the Iceberg: Reasonable Prediction for Extreme Multi-label Classification,Short
On the Role of Relevance in Natural Language Processing Tasks,Short
An Efficiency Study for SPLADE Models,Short
Tensor-based Graph Modularity for Text Data Clustering,Short
Learned Token Pruning in Contextualized Late Interaction over BERT (ColBERT),Short
AHP: Learning to Negative Sample for Hyperedge Prediction,Short
Re-weighting Negative Samples for Model-Agnostic Matching,Short
GraFN: Semi-Supervised Node Classification on Graph with Few Labels via Non-Parametric Distribution Assignment,Short
Item-Provider Co-learning for Sequential Recommendation,Short
ILMART: Interpretable Ranking with Constrained LambdaMART,Short
Modern baselines for SPARQL Semantic Parsing,Short
Learning Disentangled Representations for Counterfactual Regression via Mutual Information Minimization,Short
CTnoCVR: A Novelty Auxiliary Task Making the Lower-CTR-Higher-CVR Upper,Short
Learning to Rank Knowledge Sub-Graph Nodes for Entity Retrieval,Short
Deep Multi-Representational Item Network for CTR Prediction,Short
A New Sequential Prediction Framework with Spatial-temporal Embedding,Short
Rethinking Correlation-based Item-Item Similarities for Recommender Systems,Short
Deep Page-Level Interest Network in Reinforcement Learning for Ads Allocation,Short
GraphAD: A Graph Neural Network Model for Entity-Wise Multivariate Time-Series Anomaly Detection,Short
On Survivorship Bias in MS MARCO,Short
Counterfacutal Debiasing for Evidence-aware Fake News Detection,Short
DisenCTR: Dynamic Graph-based Disentangled Representation for Click-Through Rate Prediction,Short
Improving Conversational Recommender Systems via Transformer-based Sequential Modelling,Short
Neural Query Synthesis and Domain-Specific Ranking Templates for Multi-Stage Clinical Trial Matching,Short
Trainable CNNs based attention for user image behavior modeling with category prior,Short
Joint Optimization of Ad Ranking and Creative Selection,Short
BERT-based Dense Intra-ranking and Contextualized Late Interaction via Multi-task Learning for Long Document Retrieval,Short
From Distillation to Hard Negative Sampling: Making Sparse Neural IR Models More Effective,Short
Choosing The Right Teammate For Cooperative Text Generation,Short
When online meets offline: exploring periodicity for travel destination prediction,Short
Long Document Re-ranking with Modular Re-ranker,Short
Improving Micro-video Recommendation via Contrastive Multiple Interests,Short
Is News Recommendation a Sequential Recommendation Task?,Short
Unsupervised Dataset Generation for Information Retrieval,Short
Identifying Argumentative Questions in Web Search Logs,Short
Smooth-AUC: Smoothing the Path Towards Rank-based CTR Prediction,Short
Diversity vs Relevance: a practical multi-objective study in luxury fashion recommendations,Short
Multi-modal Graph Contrastive Learning for Micro-video Recommendation,Short
Coarse-to-Fine Sparse Sequential Recommendation,Short
Revisiting Two-tower Models for Unbiased Learning to Rank,Short
Answering Count Query with Explanatory Evidence,Short
Interactive query clarification and refinement via user simulation,Short
Summarizing Legal Regulatory Documents using Transformers,Short
On Optimizing Top-K Metrics for Neural Ranking Models,Short
An MLP-based Algorithm for Efficient Contrastive Graph Recommendations,Short
Modeling User Behavior With Interaction Networks for Spam Detection,Short
End-to-end Distantly Supervised Information Extraction with Retrieval Augmentation,Short
DeSCoVeR: Debiased Semantic Context Prior for Venue Recommendation,Short
Entity-Conditioned Question Generation for Robust Attention Distribution in Neural Information Retrieval,Short
Assessing Scientific Research Papers with Knowledge Graphs,Short
Matching Search Result Diversity with User Diversity Acceptance in Web Search Sessions,Short
Topological Analysis of Contradictions in Text,Short
Addressing Gender-related Performance Disparities in Neural Rankers,Short
Alignment Rationale for Query-Document,Short
"To interpolate or not to interpolate: PRF, Dense Retrievers and BM25",Short
A Content Recommendation Policy for Gaining Subscribers,Short
C3: Continued Pretraining with Contrastive Weak Supervision for Cross Language Ad-Hoc Retrieval,Short
Dual Pseudo Supervision for Semi-Supervised Text Classification with a Reliable Teacher,Short
Learning Trustworthy Web Sources to Derive Correct Answers and Reduce Health Misinformation in Search,Short
Learning to Enrich Query Representation with Pseudo-Relevance Feedback for Cross-lingual Retrieval,Short
Mitigating the Filter Bubble while Maintaining Relevance: Targeted Diversification with VAE-based Recommender Systems,Short
Mitigating bias in search results through set-based document reranking and neutrality regularization,Short
A Meta-learning Approach to Fair Ranking,Short
Can Users Predict Relative Query Effectiveness?,Short
ELECRec: Training Sequential Recommenders as Discriminators,Short
Explainable Session-based Recommendation with Meta-Path Guided Instances and Self-Attention Mechanism,Short
MM-Rec: Visiolinguistic Model Empowered Multimodal News Recommendation,Short
Generative Adversarial Framework for Cold-Start Item Recommendation,Short
Inconsistent Ranking Assumptions in Medical Search and Their Downstream Consequences,Short
Modality-Balanced Embedding for Video Retrieval,Short
An Efficient Fusion Mechanism for Multimodal Low-resource Setting,Short
QSG Transformer: Transformer with Query-Attentive Semantic Graph for Query-Focused Summarization,Short
Improving Item Cold-start Recommendation via Model-agnostic Conditional Variational Autoencoder,Short
PST: Measuring Skill Proficiency in Programming Exercise Process via Programming Skill Tracing,Short
Revisiting Interactive Recommender System with Reinforcement Learning,Short
Next Point-of-Interest Recommendation with Auto-Correlation Enhanced Multi-Modal Transformer Network,Short
MuchSUM: Multi-channel Graph Neural Network for Extractive Summarization,Short
Neutralizing Popularity Bias in Recommendation Models,Short
Lightweight Meta-Learning for Low-Resource Abstractive Summarization,Short
Towards Personalized Bundle Creative Generation with Contrastive Non-Autoregressive Decoding,Short
Exploiting Session Information in BERT-based Session-aware Sequential Recommendation,Short
Posterior Probability Matters: Doubly-Adaptive Calibration for Neural Predictions in Online Advertising,Short
Towards Motivational and Empathetic Response Generation in Online Mental Health Support,Short
Selective Fairness in Recommendation via Prompts,Short
Multi-labels Masked Language Modeling on Zero-shot Code-switched Sentiment Analysis,Short
Expanded Lattice Embeddings for Spoken Document Retrieval on Informal Meetings,Short
Extractive Elementary Discourse Units for Improving Abstractive Summarization,Short
LightSGCN: Powering Signed Graph Convolution Network for Link Sign Prediction with Simplified Architecture Design,Short
Dual Contrastive Network for Sequential Recommendation,Short
"Revisiting Bundle Recommendation: Datasets, Tasks, Challenges and Opportunities for Intent-aware Product Bundling",Resource
BARS: Towards Open-Benchmarking for Recommender Systems,Resource
OVQA: A clinically generated visual question answering dataset,Resource
Fostering Coopetition While Plugging Leaks: The Design and Implementation of the MS MARCO Leaderboards,Resource
Monant Medical Misinformation Dataset: Mapping Articles to Fact-Checked Claims,Resource
A Dataset for Sentence Retrieval for Open-Ended Dialogues,Resource
Too Many Relevants: Whither Cranfield Test Collections?,Resource
ACORDAR: A Test Collection for Ad Hoc Content-Based (RDF) Dataset Retrieval,Resource
"ReMeDi: Resources for Multi-domain, Multi-service, Medical Dialogues",Resource
Wikimarks: Harvesting Relevance Benchmarks from Wikipedia,Resource
CODEC: Complex Document and Entity Collection,Resource
MET-Meme: A Multimodal Meme Dataset Rich in Metaphors,Resource
ArchivalQA: A Large-scale Benchmark Dataset for Open Domain Question Answering over Historical News Collections,Resource
SoChainDB: A Database for Storing and Retrieving Blockchain-Powered Social Network Data,Resource
Multi-CPR: A Multi Domain Chinese Dataset for Passage Retrieval,Resource
ORCAS-I: Queries Annotated with Intent using Weak Supervision,Resource
ir_metadata: An Extensible Metadata Schema for IR Experiments,Resource
Would You Ask it that Way? Measuring and Improving Question Naturalness for Knowledge Graph Question Answering,Resource
The Istella22 Dataset: Bridging Traditional and Neural Learning to Rank Evaluation,Resource
Knowledge Graph Question Answering Datasets and their Generalizability: Are they enough for future research?,Resource
"ViQuAE, a Dataset for Knowledge-based Visual Question Answering about Named Entities",Resource
Biographical Semi-Supervised Relation Extraction Dataset,Resource
Axiomatic Retrieval Experimentation with ir_axioms,Resource
MuMiN: A Large-Scale Multilingual Multimodal Fact-Checked Misinformation Social Network Dataset,Resource
CAVES: A dataset to facilitate explainable classification and summarization of concerns towards COVID vaccines,Resource
RELISON: A Framework for Link Recommendation in Social Networks,Resource
iRec: An Interactive Recommendation Framework,Resource
From Little Things Big Things Grow: A Collection with Seed Studies for Medical Systematic Review Literature Search,Resource
Document Expansion Baselines and Learned Sparse Lexical Representations for MS MARCO V1 and V2,Resource
MIMICS-Duo: Offline & Online Evaluation of Search Clarification,Resource
RecDelta: An Interactive Dashboard on Top-k Recommendation for Cross-model Evaluation,Demos
SparCAssist: A Model Risk Assessment Assistant Based on Sparse Generated Counterfactuals,Demos
A Common Framework for Exploring Document-at-a-Time and Score-at-a-Time Retrieval Methods,Demos
Asyncval: A toolkit for asynchronously validating dense retriever checkpoints during training,Demos
Golden Retriever: A Real-Time Multi-Modal Text-Image Retrieval System with the Ability to Focus,Demos
BiTe-REx: An Explainable Bilingual Text Retrieval System in the Automotive Domain,Demos
TARexp: A Python Framework for Technology-Assisted Review Experiments,Demos
ZeroMatcher: A Cost-Off Entity Matching System,Demos
Table Enrichment System for Machine Learning,Demos
QFinder: A Framework for Quantity-centric Ranking,Demos
ROGUE: A System for Exploratory Search of GANs,Demos
cherche: A new tool to rapidly implement pipelines in information retrieval,Demos
Online DATEing: A Web Interface for Temporal Annotations,Demos
Are Taylor's Posts Risky? Evaluating Cumulative Revelations in Online Personal Data,Demos
LawNet-Viz: A Web-based System to Visually Explore Networks of Law Article References,Demos
SpaceQA: Answering Questions about the Design of Space Missions and Space Craft Concepts,Demos
TaskMAD: A Platform for Multimodal Task-Centric Knowledge-Grounded Conversational Experimentation,Demos
DIANES: A DEI Audit Toolkit for News Sources,Demos
A2A-API: A Prototype for Biomedical Information Retrieval Research and Benchmarking,Demos
NeuralKG: An Open Source Library for Diverse Representation Learning of Knowledge Graphs,Demos
IRVILAB: Gamified Searching on Multilingual Wikipedia,Demos
PKG: A Personal Knowledge Graph for Recommendation,Demos
A Python Interface to PISA!,Demos
Arm: Efficient Learning of Neural Retrieval Models with Desired Accuracy by Automatic Knowledge Amalgamation,Demos
Quote Erat Demonstrandum: A Web Interface for Exploring the Quotebank Corpus,Demos
DDEN:A Heterogeneous Learning-to-Rank Approach with Deep Debiasing Experts Network,SIRIP
Organizing Portuguese Legal Documents through Topic Discovery,SIRIP
Query Facet Mapping and its Applications in Streaming Services: the Netflix Case Study,SIRIP
"A Low-Cost, Controllable and Interpretable Task-Oriented Chatbot: With Real-World After-Sale Services as Example",SIRIP
An Industrial Framework for Cold-Start Recommendation in Zero-Shot Scenarios,SIRIP
Unsupervised Product Offering Title Quality Scores,SIRIP
Learning to Rank Instant Search Results with Multiple Indices: A Case Study in Search Aggregation for Entertainment,SIRIP
ClueWeb22: 10 Billion Web Documents with Rich Information,SIRIP
An Auto Encoder-based Dimensionality Reduction Technique for Efficient Entity Linking in Business Phone Conversations,SIRIP
An Intelligent Advertisement Short Video Production System via Multi-Modal Retrieval,SIRIP
Scalable User Interface Optimization Using Combinatorial Bandits,SIRIP
Flipping the Script: Inverse Information Seeking Dialogues for Market Research,SIRIP
Extractive Search for Analysis of Biomedical Texts,SIRIP
"Panel - Information Ecosystem Threats in Minoritized Communities: Challenges, Open Problems and Research Directions",SIRIP
Panel - Applications and Future of Dense Retrieval in Industry,SIRIP
